,2011,2012,2013,2014
Российская Федерация,
Всего,
городское население,"4,8","4,8","4,2","4,5"
сельское население,"8,3",0,0,0
1-4.,
все население,0,0,0,"0,7"
городское население,0,0,0,0
сельское население,0,0,0,"2,2"
5-9.,
все население,0,0,"0,6",0
городское население,0,0,0,0
сельское население,0,0,"2,1",0
10-14.,
все население,"0,8",0,0,0
городское население,"1,2",0,0,0
сельское население,0,0,0,0
15-19,
все население,"1,7",0,"1,7","0,8"
городское население,0,0,0,"1,1"
сельское население,"6,4",0,"6,8",0
20-24,
все население,"2,5",0,"1,7","0,9"
городское население,0,0,"1,1","1,1"
сельское население,"10,1",0,"3,9",0
25-29.,
все население,"2,2","1,6","2,2","1,1"
городское население,"0,7","1,4","0,7","0,7"
сельское население,"7,5","2,8","8,9","3,1"
30-34.,
все население,"0,5","1,1","1,1","1,1"
городское население,"0,7","0,7","1,3","0,7"
сельское население,0,"2,5",0,"3,1"
35-39.,
все население,"5,4","3,2","0,6","2,3"
городское население,"2,7","2,5",0,"1,4"
сельское население,13,"5,6","2,9","5,8"
40-44.,
все население,"4,5","6,6","2,8","2,7"
городское население,"3,2","5,2",2,"3,7"
сельское население,"7,2","9,8","4,8",0
45-49,
все население,"5,4","3,8","4,1","3,6"
городское население,"3,7","3,9","2,1","1,1"
сельское население,"8,6","3,6","7,9","8,7"
50-54,
все население,"4,9",6,"6,6","3,9"
городское население,5,"7,4","5,8","5,1"
сельское население,"4,8","3,2","8,1","1,6"
55-59,
все население,"12,4","6,9","9,8","6,6"
городское население,"11,5","4,6","6,4","5,4"
сельское население,"14,4","11,9","16,7","8,9"
60-64,
все население,"8,4","14,8","7,6","15,4"
городское население,"9,5","13,9","8,5","16,3"
сельское население,6,"16,8","5,6","13,3"
65-69,
все население,"28,6","8,4","19,5","15,9"
городское население,"26,7","9,3","20,9","10,5"
сельское население,"32,4","6,4","16,7","27,9"
70-74,
все население,"34,8","32,6","24,7","46,5"
городское население,"26,2","30,1","22,1","38,5"
сельское население,"52,1","37,3","29,3","62,1"
75-79,
все население,"54,5","58,1","61,5","46,4"
городское население,"42,2","38,2","64,2","37,7"
сельское население,"72,4",94,"55,6","66,2"
80-84,
все население,"100,8","80,6","117,8","60,2"
городское население,"86,3","90,2","134,7","66,1"
сельское население,125,"65,8","90,9","51,1"
85 и старше,
все население,"121,8","196,4","181,8",197
городское население,"129,4","173,5","161,7","197,7"
сельское население,"108,1","239,3","218,8","195,5"
Архангельская область (без АО),
Всего,
все население,"12,3","12,4",12,12
городское население,11,"11,1",11,"10,8"
сельское население,"16,7","16,8","15,8","16,2"
0,
все население,"6,9","7,6","6,6","6,4"
городское население,"5,3","7,9","7,2","6,3"
сельское население,"11,5","6,9","4,9","6,7"
1-4.,
все население,"0,3","0,3","0,4","0,3"
городское население,"0,3","0,2","0,3","0,3"
сельское население,"0,3","0,3","0,6","0,3"
5-9.,
все население,"0,2","0,1","0,3","0,1"
городское население,"0,2","0,1","0,3","0,1"
сельское население,"0,3",0,"0,1","0,1"
10-14.,
все население,"0,4","0,3","0,3","0,3"
городское население,"0,4","0,2","0,2","0,2"
сельское население,"0,5","0,3","0,5","0,5"
15-19,
все население,"0,6","0,5","0,6","0,7"
городское население,"0,4","0,5","0,5","0,4"
сельское население,"1,1","0,6",1,"1,7"
20-24,
все население,"0,8","0,7","0,6","0,6"
городское население,"0,7","0,5","0,5","0,6"
сельское население,"1,7",2,"1,4","0,7"
25-29.,
все население,"1,1","1,1","1,4","0,9"
городское население,1,"0,8","1,1","0,7"
сельское население,"1,5",3,"2,9","1,7"
30-34.,
все население,"1,9","1,6","1,6","1,8"
городское население,"1,5","1,4","1,4","1,4"
сельское население,"3,3","2,6","2,4","3,8"
35-39.,
все население,"2,9","2,1","2,1","2,5"
городское население,"2,9","2,1","1,9",2
сельское население,3,"1,9","2,5","4,9"
40-44.,
все население,"3,3","3,2","2,7","2,9"
городское население,"2,9",3,"2,5","2,8"
сельское население,"4,5","4,1","3,6","3,3"
45-49,
все население,"4,2","4,2","3,6","4,4"
городское население,"4,1","4,3","3,6",4
сельское население,"4,6","3,8","3,7","5,7"
50-54,
все население,"6,7","6,2","5,2","5,1"
городское население,6,"5,6",5,"4,7"
сельское население,"8,6","7,9","5,8","6,2"
55-59,
все население,8,"8,4","7,2","8,2"
городское население,"7,7","7,9","6,6","7,3"
сельское население,"8,7","9,6","8,8","10,7"
60-64,
все население,"13,1","12,6","11,7","11,8"
городское население,"12,6","11,9","11,4","11,4"
сельское население,"14,7","14,7","12,6","12,9"
65-69,
все население,"19,6","16,4","16,3",16
городское население,"19,4",16,"15,8","16,2"
сельское население,"20,5","17,7","18,1","15,7"
70-74,
все население,"29,6",30,"28,9","26,7"
городское население,"28,6","29,4","28,4","27,4"
сельское население,"32,7",32,"30,6","24,6"
75-79,
все население,"54,2","53,6","44,8","46,5"
городское население,"53,1","52,2","43,8",45
сельское население,"56,8","56,8","47,4","50,4"
80-84,
все население,94,"97,2","93,6","87,4"
городское население,"90,8","92,3","90,7","84,3"
сельское население,"101,2","108,6","100,1","94,6"
85 и старше,
все население,"183,8","173,3","181,5","169,8"
городское население,"173,4","165,4","177,9","162,9"
сельское население,"208,7","193,8","191,1","188,7"
Вологодская область,
Всего,
все население,"13,9","13,6","13,7","13,5"
городское население,12,"11,9",12,12
сельское население,"18,8",18,18,"17,5"
0,
все население,"6,8","7,1","8,2","7,2"
городское население,"7,1","8,4","7,7",8
сельское население,"5,7","4,1","9,6","5,4"
1-4.,
все население,"0,4","0,3","0,4","0,3"
городское население,"0,4","0,2","0,3","0,4"
сельское население,"0,5","0,5","0,5","0,2"
5-9.,
все население,"0,3","0,3","0,2","0,2"
городское население,"0,3","0,2","0,2","0,1"
сельское население,"0,4","0,5",0,"0,3"
10-14.,
все население,"0,3","0,2","0,2","0,1"
городское население,"0,4","0,1","0,1","0,1"
сельское население,"0,1","0,4","0,4",0
15-19,
все население,"0,5","0,5","0,4","0,4"
городское население,"0,3","0,5","0,4","0,4"
сельское население,"1,1","0,6","0,5","0,5"
20-24,
все население,"0,8","0,8","0,6",1
городское население,"0,8","0,6","0,4","0,9"
сельское население,"1,1","1,6","1,4","1,7"
25-29.,
все население,"1,1","0,8","1,1","0,9"
городское население,"0,9","0,7",1,"0,8"
сельское население,"1,9","1,2","1,5","1,4"
30-34.,
все население,2,"1,5","1,5","1,5"
городское население,"1,8","1,2","1,4","1,3"
сельское население,"2,9","2,5",2,"2,2"
35-39.,
все население,"2,5","2,6","2,2","2,9"
городское население,"2,3","2,4",2,"2,7"
сельское население,"3,4","3,1","2,9","3,5"
40-44.,
все население,"2,8","3,4","3,4",3
городское население,"2,6","3,2","3,1","2,9"
сельское население,"3,4","3,9","4,3","3,1"
45-49,
все население,"4,1",4,"4,4","3,9"
городское население,"4,2",4,"4,3","3,8"
сельское население,4,4,"4,7","4,3"
50-54,
все население,"6,1","5,6","5,1","5,7"
городское население,"5,1","5,2",5,"5,8"
сельское население,"8,5","6,7","5,4","5,5"
55-59,
все население,"8,5","8,5",9,"8,5"
городское население,"8,1",8,"8,6","8,5"
сельское население,"9,7","9,5",10,"8,6"
60-64,
все население,"12,5","11,8","12,2","11,6"
городское население,"12,2","11,5","11,9","11,2"
сельское население,"13,4","12,8","12,8","12,5"
65-69,
все население,"18,9","18,2","16,2","17,1"
городское население,"18,9","16,7","15,9","18,1"
сельское население,"18,8","22,5","16,9","14,6"
70-74,
все население,30,"30,5","30,1","28,6"
городское население,"28,6","30,2","29,4","27,2"
сельское население,"32,9","31,2","31,7","31,6"
75-79,
все население,"60,6","54,6","53,5","50,6"
городское население,"59,5","55,8","54,7","50,3"
сельское население,"62,3","52,6","51,3","51,3"
80-84,
все население,"96,7","94,4","96,7","93,8"
городское население,"98,3","96,9","98,1","93,9"
сельское население,"94,4","90,9","94,7","93,6"
85 и старше,
все население,"188,5","183,4","179,9",182
городское население,"181,9","176,6",175,"185,6"
сельское население,"198,8","194,1","187,7","176,3"
Калининградская область,
Всего,
все население,"12,3","12,3","12,2","12,3"
городское население,"12,3","12,4","12,3","12,7"
сельское население,"12,1","12,3",12,"11,1"
0,
все население,"3,6","5,9","5,2","6,3"
городское население,"3,9",6,"5,7","7,7"
сельское население,"2,8","5,8","3,8","2,5"
1-4.,
все население,"0,4","0,5","0,2","0,3"
городское население,"0,3","0,5","0,1","0,2"
сельское население,"0,6","0,6","0,4","0,5"
5-9.,
все население,"0,3","0,2","0,2","0,2"
городское население,"0,1","0,1","0,1","0,3"
сельское население,1,"0,3","0,3",0
10-14.,
все население,"0,1","0,2","0,4","0,3"
городское население,"0,1","0,1","0,3","0,3"
сельское население,0,"0,4","0,5","0,2"
15-19,
все население,"0,8","0,3","0,5","0,8"
городское население,"0,8","0,3","0,5","0,7"
сельское население,"0,8","0,4","0,4","0,8"
20-24,
все население,"0,7",1,"0,9","0,7"
городское население,"0,5","0,8",1,"0,6"
сельское население,"1,2","1,6","0,7","1,2"
25-29.,
все население,"1,1","0,8","0,9","0,9"
городское население,1,"0,6",1,"0,8"
сельское население,"1,4","1,2","0,7","1,3"
30-34.,
все население,"1,8","2,3","1,9","1,7"
городское население,"1,5","2,1","1,8","1,7"
сельское население,"3,2","2,9","2,3",2
35-39.,
все население,"2,2","2,3","2,6","2,8"
городское население,"2,1","2,2","2,3","2,7"
сельское население,"2,8","2,8","3,8","3,2"
40-44.,
все население,"3,6",4,"3,3",4
городское население,"3,3","3,8","3,3","3,5"
сельское население,"4,5","4,4",3,"5,7"
45-49,
все население,"4,7","4,7","4,3","4,8"
городское население,"4,5","4,2","4,2","4,9"
сельское население,"5,7","6,3","4,9","4,1"
50-54,
все население,"5,6","5,9","5,9","5,8"
городское население,"5,1","5,5","5,4","5,4"
сельское население,"7,2","7,4","7,7","7,4"
55-59,
все население,"8,6","8,6","9,2","8,9"
городское население,"7,8","8,1","8,9","8,5"
сельское население,"11,9","10,5","10,3","10,4"
60-64,
все население,"13,8","12,9","12,2","12,4"
городское население,"13,3","12,3","11,2","11,8"
сельское население,"16,1","15,5","16,6","14,8"
65-69,
все население,"20,1",18,"17,1","16,5"
городское население,19,"17,5","16,7","15,9"
сельское население,"24,8","20,2","19,1","19,8"
70-74,
все население,"30,8","31,1","29,4","29,1"
городское население,"29,5","29,3","27,4",29
сельское население,37,"39,2","38,7","29,7"
75-79,
все население,"53,2","52,9",49,"48,6"
городское население,"50,4","50,2","46,9","47,6"
сельское население,65,"64,5","58,6","53,3"
80-84,
все население,"97,6","93,1","94,1","87,6"
городское население,95,"91,3","92,5","85,5"
сельское население,"110,1","101,2","101,8","97,6"
85 и старше,
все население,"176,7","173,5","172,1","178,5"
городское население,"177,5","168,2","166,9","181,9"
сельское население,"172,4",202,"200,5","160,6"
Ленинградская область,
Всего,
все население,"13,4","13,6","13,5","13,7"
городское население,"13,9","14,1","14,2","14,6"
сельское население,"12,5","12,6","12,1","12,1"
0,
все население,"4,6","4,3","4,3","5,6"
городское население,"4,7","3,1","4,7","5,3"
сельское население,"4,5","6,7","3,5","6,2"
1-4.,
все население,"0,2","0,4","0,2","0,3"
городское население,"0,2","0,5","0,2","0,4"
сельское население,"0,1","0,3","0,2","0,2"
5-9.,
все население,"0,2","0,2","0,2","0,3"
городское население,"0,1","0,2","0,3","0,4"
сельское население,"0,2","0,2","0,1","0,2"
10-14.,
все население,"0,2","0,1","0,2","0,2"
городское население,"0,2","0,2","0,2","0,2"
сельское население,"0,1",0,"0,2","0,3"
15-19,
все население,"0,6","0,6","0,4","0,6"
городское население,"0,5","0,5","0,5","0,5"
сельское население,"0,9","0,8","0,3","0,8"
20-24,
все население,"0,8","0,8",1,"0,6"
городское население,"0,9","0,8",1,"0,5"
сельское население,"0,6","0,6","1,2","0,8"
25-29.,
все население,"1,4","1,5","1,3","1,2"
городское население,"1,5","1,3","1,4","1,3"
сельское население,"1,3","1,8","1,2","1,1"
30-34.,
все население,"2,5","2,3","2,1","2,4"
городское население,"2,6","2,3","2,1","2,8"
сельское население,"2,3","2,4","2,2","1,6"
35-39.,
все население,"3,1","2,8","2,8","2,7"
городское население,3,"2,7","2,9","2,5"
сельское население,"3,3",3,"2,6",3
40-44.,
все население,"3,1","3,8","3,4","3,6"
городское население,"3,2",4,"3,5","3,5"
сельское население,3,"3,4","3,2","3,7"
45-49,
все население,"4,3","4,5","4,8","4,4"
городское население,"4,3","4,3","4,8","4,5"
сельское население,"4,3","4,9","4,8","4,2"
50-54,
все население,"6,2","6,1","5,6","5,2"
городское население,"6,5",6,"5,6","5,3"
сельское население,"5,6","6,3","5,4","5,2"
55-59,
все население,"8,3","8,4",8,"8,5"
городское население,8,"8,2","7,6","8,8"
сельское население,"8,8","8,8","8,7","7,8"
60-64,
все население,"12,5","11,5","11,5","11,6"
городское население,"12,5","11,7","11,7","12,4"
сельское население,"12,7","11,3","11,1","9,9"
65-69,
все население,"19,5","17,2","15,8","17,2"
городское население,"20,3","18,2","16,8","18,3"
сельское население,"17,9","15,3","13,7",15
70-74,
все население,"28,3","28,2","28,2","27,4"
городское население,"29,3","30,1","30,1","29,4"
сельское население,"26,3","24,8","24,5","23,7"
75-79,
все население,"51,4","50,3","45,8","45,4"
городское население,"53,9","54,3","49,4","49,4"
сельское население,"46,7",43,"39,1","38,1"
80-84,
все население,"94,4","90,3","90,6","93,2"
городское население,"101,5","95,3","100,8","101,5"
сельское население,"81,4","81,4",73,"79,1"
85 и старше,
все население,"164,3","173,9",173,"171,2"
городское население,"173,3","187,3","187,4","190,1"
сельское население,"147,2","148,9","147,1","138,7"
Мурманская область,
Всего,
все население,"10,1","10,3","10,3","10,3"
городское население,"10,1","10,4","10,4","10,6"
сельское население,"10,2","7,9","8,7","6,5"
0,
все население,"7,6","4,4","4,9","5,1"
городское население,"8,1","4,6",5,5
сельское население,"2,6","2,7","2,7","5,7"
1-4.,
все население,"0,2","0,2","0,2","0,2"
городское население,"0,2","0,2","0,2","0,2"
сельское население,0,0,0,0
5-9.,
все население,"0,1","0,1","0,1","0,1"
городское население,"0,1","0,1","0,1","0,2"
сельское население,"0,6",0,0,0
10-14.,
все население,"0,2","0,1","0,3","0,3"
городское население,"0,2","0,1","0,2","0,3"
сельское население,0,0,"1,4",0
15-19,
все население,"0,3","0,2","0,3","0,3"
городское население,"0,2","0,1","0,3","0,3"
сельское население,"0,9","2,8","0,9",0
20-24,
все население,"0,8",1,"0,7","0,6"
городское население,"0,8",1,"0,7","0,6"
сельское население,0,"0,7",0,"0,9"
25-29.,
все население,"1,3","1,1","1,5","0,9"
городское население,"1,4",1,"1,5","0,9"
сельское население,0,"2,1","1,3","0,4"
30-34.,
все население,"1,8","1,8","1,7","1,6"
городское население,"1,8","1,8","1,8","1,6"
сельское население,"1,8","1,9","0,9","1,8"
35-39.,
все население,"2,8","2,2","2,3","2,4"
городское население,"2,8","2,2","2,4","2,5"
сельское население,"3,9",2,"1,5",1
40-44.,
все население,"2,9","2,8",3,"2,8"
городское население,3,"2,8",3,"2,9"
сельское население,"2,8","3,2","3,1",1
45-49,
все население,"4,7","3,6","4,1","4,1"
городское население,"4,6","3,6","4,2","4,2"
сельское население,"5,4","3,2","3,4","3,6"
50-54,
все население,"5,9","5,9","5,9","5,6"
городское население,"5,7",6,"5,9","5,6"
сельское население,"10,1","4,8","4,9","5,6"
55-59,
все население,"9,3","9,3","9,2","7,9"
городское население,"9,2","9,4","9,2","7,9"
сельское население,"10,6","9,1","10,6","8,5"
60-64,
все население,13,"13,6","13,3","11,7"
городское население,"12,7","13,5","13,2","11,9"
сельское население,"18,9","13,9","14,3","9,7"
65-69,
все население,"22,3","18,5","20,1","19,9"
городское население,22,"18,5","20,3","20,3"
сельское население,"28,1","18,2","17,2","11,5"
70-74,
все население,"33,8",35,35,"32,2"
городское население,"33,2",35,"35,3","32,4"
сельское население,"45,7","34,7","29,7","28,5"
75-79,
все население,"58,5","57,2","49,8","53,9"
городское население,"57,7","56,8","49,3","54,4"
сельское население,"75,4","65,6","60,4",44
80-84,
все население,"95,8","101,2","100,8","101,2"
городское население,"94,7","102,2","101,4","101,9"
сельское население,"115,5","83,6","90,5","88,1"
85 и старше,
все население,"189,1","181,8",171,"175,5"
городское население,"189,2","185,6","167,8","180,4"
сельское население,"186,7","112,6","230,6","87,9"
Новгородская область,
Всего,
все население,"16,6","16,4","16,2",16
городское население,"14,9","14,9",15,"14,7"
сельское население,"20,7","20,1","19,4","19,3"
0,
все население,"7,4","6,2","5,6",7
городское население,"7,3","4,9","5,9","4,7"
сельское население,"7,5","9,5","4,8","12,3"
1-4.,
все население,"0,5","0,7","0,4","0,5"
городское население,"0,3","0,7","0,4","0,6"
сельское население,"0,8","0,5","0,5","0,3"
5-9.,
все население,"0,2","0,3","0,3","0,3"
городское население,"0,1","0,4","0,4","0,5"
сельское население,"0,5","0,2","0,2",0
10-14.,
все население,"0,6","0,2","0,1","0,3"
городское население,"0,6","0,1",0,"0,3"
сельское население,"0,8","0,5","0,3","0,3"
15-19,
все население,"0,7","0,4","0,4","0,3"
городское население,"0,8","0,5","0,4","0,3"
сельское население,"0,3",0,"0,3","0,3"
20-24,
все население,"1,2","0,8","0,8","0,8"
городское население,1,"0,7","0,6","0,6"
сельское население,"1,7","1,4","1,3","1,5"
25-29.,
все население,"1,8","1,2","1,7","1,5"
городское население,"1,6","1,3","1,7",1
сельское население,"2,3",1,"1,6","2,9"
30-34.,
все население,2,"2,8","2,6","2,7"
городское население,"1,8","2,5","2,7","2,3"
сельское население,"2,7",4,"2,3","3,8"
35-39.,
все население,"3,5","2,9","2,5","3,2"
городское население,"2,8","2,4","2,2","2,9"
сельское население,6,"4,2","3,6","4,1"
40-44.,
все население,"4,3","3,5","3,1","4,7"
городское население,"4,2","3,5",3,"4,2"
сельское население,"4,6","3,6","3,3","6,1"
45-49,
все население,"4,2","5,1","5,5","4,8"
городское население,"4,3","4,4","5,3",4
сельское население,"4,2","6,9","6,1",7
50-54,
все население,"6,8","6,6","6,2","6,4"
городское население,"6,4","5,9","5,7","5,8"
сельское население,"7,7","8,2","7,7",8
55-59,
все население,"9,7","11,1","8,8","9,6"
городское население,9,"11,2","8,6","8,8"
сельское население,"11,3","10,8","9,1","11,4"
60-64,
все население,"14,6","13,7","14,1","12,8"
городское население,"14,1","13,1","14,2","12,2"
сельское население,"16,1","15,3","13,9","14,3"
65-69,
все население,"20,3","16,5","16,9","17,7"
городское население,21,"16,3","15,9","17,1"
сельское население,"18,7","16,8","19,1","19,3"
70-74,
все население,"34,8","31,9","31,5","31,1"
городское население,"34,6","31,9","32,9","33,3"
сельское население,"35,2","32,1","28,9","26,7"
75-79,
все население,"59,5","57,2","51,8","49,1"
городское население,60,"59,2","54,4","52,2"
сельское население,"58,7",54,"47,5","43,9"
80-84,
все население,"100,7","96,5","101,9","96,5"
городское население,"104,8","101,3","105,7",100
сельское население,95,"89,8","96,5","91,6"
85 и старше,
все население,"185,4",188,"183,3","175,7"
городское население,"185,6","192,9","195,3",194
сельское население,"184,9","179,7","164,2","147,8"
Псковская область,
Всего,
все население,"17,7",18,"17,4","17,6"
городское население,"15,4","15,7","15,4","15,5"
сельское население,"23,4","23,6","22,3","22,7"
0,
все население,"5,3","10,2","6,5","5,8"
городское население,"3,8","10,6","5,2","5,3"
сельское население,"8,6","9,5","9,6","7,1"
1-4.,
все население,"0,4","0,1","0,2","0,2"
городское население,"0,2",0,"0,2","0,1"
сельское население,"0,9","0,3","0,3","0,5"
5-9.,
все население,"0,3","0,3","0,1","0,3"
городское население,"0,1","0,3",0,"0,4"
сельское население,"0,8","0,3","0,2",0
10-14.,
все население,"0,2","0,3","0,2","0,1"
городское население,"0,1","0,3","0,1","0,1"
сельское население,"0,3","0,3","0,5","0,3"
15-19,
все население,"0,5",1,"0,6","0,6"
городское население,"0,5",1,"0,3","0,5"
сельское население,"0,5","1,2","1,8","0,9"
20-24,
все население,1,"0,8",1,"0,9"
городское население,"0,5","0,7","0,8","0,7"
сельское население,"2,6","0,9","2,1","1,8"
25-29.,
все население,"1,6","1,6","1,3","1,3"
городское население,"0,9","1,2","1,1","0,7"
сельское население,"3,8",3,"1,8","3,3"
30-34.,
все население,"2,6","1,8","2,8","2,4"
городское население,"2,1","1,3","2,3","2,2"
сельское население,"4,3","3,3","4,4","2,9"
35-39.,
все население,"3,1","2,6","3,2","3,1"
городское население,"2,9",2,3,"2,2"
сельское население,"3,8","4,8","4,1","6,1"
40-44.,
все население,"5,5","3,7","3,9","4,8"
городское население,5,"2,9","3,7","4,3"
сельское население,"6,9","5,8","4,4","6,1"
45-49,
все население,"6,3","5,5",5,"4,6"
городское население,"5,4","5,1",5,"4,5"
сельское население,"8,5","6,7","5,2","4,9"
50-54,
все население,"7,4","7,5","6,8","6,7"
городское население,"6,8","7,2","6,4","6,3"
сельское население,"8,9","8,3","7,7","7,7"
55-59,
все население,"11,5","11,1","10,2","10,7"
городское население,10,"10,1","10,5","9,7"
сельское население,"15,5","13,6","9,5","13,1"
60-64,
все население,"17,5","15,6","12,8","14,2"
городское население,"17,2","14,8","11,9","13,2"
сельское население,"18,2","17,5","14,8","16,6"
65-69,
все население,"21,4","20,7","20,9","20,9"
городское население,"19,8","20,3","21,8","21,3"
сельское население,"24,7","21,5","18,9",20
70-74,
все население,"33,9",34,"34,8",30
городское население,"35,3","35,2","36,2","31,9"
сельское население,"31,4","31,8","32,4","26,6"
75-79,
все население,"59,6","56,7","55,7","53,9"
городское население,"65,3","61,2","59,3","57,4"
сельское население,52,"50,3","50,5","48,5"
80-84,
все население,"99,8","104,3","95,9","95,1"
городское население,"100,1","108,5","95,6","98,9"
сельское население,"99,3",99,"96,2","90,5"
85 и старше,
все население,"180,2","191,3","185,7",194
городское население,"178,6","185,7","188,2","196,5"
сельское население,"182,6","200,2","181,8","190,3"
г.Санкт-Петербург,
Всего,
все население,12,"12,2","11,7","11,6"
городское население,12,"12,2","11,7","11,6"
сельское население,0,0,0,0
0,
все население,"4,2","3,8",4,"4,1"
городское население,"4,2","3,8",4,"4,1"
сельское население,0,0,0,0
1-4.,
все население,"0,4","0,3","0,3","0,3"
городское население,"0,4","0,3","0,3","0,3"
сельское население,0,0,0,0
5-9.,
все население,"0,2","0,2","0,2","0,1"
городское население,"0,2","0,2","0,2","0,1"
сельское население,0,0,0,0
10-14.,
все население,"0,1","0,2","0,1","0,2"
городское население,"0,1","0,2","0,1","0,2"
сельское население,0,0,0,0
15-19,
все население,"0,3","0,3","0,4","0,4"
городское население,"0,3","0,3","0,4","0,4"
сельское население,0,0,0,0
20-24,
все население,"0,5","0,5","0,4","0,5"
городское население,"0,5","0,5","0,4","0,5"
сельское население,0,0,0,0
25-29.,
все население,1,"0,8","0,7","0,7"
городское население,1,"0,8","0,7","0,7"
сельское население,0,0,0,0
30-34.,
все население,"1,4","1,6","1,5","1,3"
городское население,"1,4","1,6","1,5","1,3"
сельское население,0,0,0,0
35-39.,
все население,2,"2,2",2,"1,9"
городское население,2,"2,2",2,"1,9"
сельское население,0,0,0,0
40-44.,
все население,"2,7","2,5","2,4","2,5"
городское население,"2,7","2,5","2,4","2,5"
сельское население,0,0,0,0
45-49,
все население,"3,5","3,6","3,2","3,2"
городское население,"3,5","3,6","3,2","3,2"
сельское население,0,0,0,0
50-54,
все население,5,"4,9","4,4","4,5"
городское население,5,"4,9","4,4","4,5"
сельское население,0,0,0,0
55-59,
все население,"7,6","6,8","6,7","6,5"
городское население,"7,6","6,8","6,7","6,5"
сельское население,0,0,0,0
60-64,
все население,11,"10,8","10,6","9,7"
городское население,11,"10,8","10,6","9,7"
сельское население,0,0,0,0
65-69,
все население,"14,8","15,1","14,6",15
городское население,"14,8","15,1","14,6",15
сельское население,0,0,0,0
70-74,
все население,"24,7","25,9","23,7","23,2"
городское население,"24,7","25,9","23,7","23,2"
сельское население,0,0,0,0
75-79,
все население,"44,6","42,7","39,5","39,5"
городское население,"44,6","42,7","39,5","39,5"
сельское население,0,0,0,0
80-84,
все население,"79,9","78,6","77,7","75,7"
городское население,"79,9","78,6","77,7","75,7"
сельское население,0,0,0,0
85 и старше,
все население,"147,4","150,8","146,4",143
городское население,"147,4","150,8","146,4",143
сельское население,0,0,0,0
Южный Федеральный округ (с 2010 года),
Всего,
все население,"12,5","12,2","12,1","12,3"
городское население,"12,3","12,2","12,1","12,2"
сельское население,"12,8","12,4","12,1","12,6"
0,
все население,"6,5","7,9","7,2","6,2"
городское население,"6,3","8,2","7,4","6,2"
сельское население,"6,9","7,3",7,"6,2"
1-4.,
все население,"0,4","0,4","0,3","0,4"
городское население,"0,4","0,3","0,3","0,4"
сельское население,"0,3","0,4","0,3","0,4"
5-9.,
все население,"0,2","0,2","0,2","0,2"
городское население,"0,2","0,2","0,2","0,1"
сельское население,"0,2","0,3","0,2","0,2"
10-14.,
все население,"0,2","0,2","0,2","0,2"
городское население,"0,2","0,2","0,2","0,2"
сельское население,"0,2","0,3","0,2","0,2"
15-19,
все население,"0,5","0,4","0,5","0,4"
городское население,"0,4","0,4","0,4","0,5"
сельское население,"0,6","0,5","0,5","0,4"
20-24,
все население,"0,6","0,5","0,5","0,5"
городское население,"0,6","0,5","0,5","0,4"
сельское население,"0,7","0,6","0,7","0,7"
25-29.,
все население,1,"0,8","0,8","0,8"
городское население,"0,9","0,8","0,8","0,7"
сельское население,"1,2","0,9","0,8",1
30-34.,
все население,"1,5","1,4","1,3","1,3"
городское население,"1,5","1,3","1,2","1,2"
сельское население,"1,6","1,5","1,4","1,5"
35-39.,
все население,"2,1",2,"1,9",2
городское население,"2,2",2,2,"1,9"
сельское население,2,2,"1,9","2,1"
40-44.,
все население,"2,8","2,6","2,8","2,6"
городское население,"2,8","2,6","2,8","2,7"
сельское население,"2,8","2,6","2,7","2,5"
45-49,
все население,"3,9","3,6","3,4","3,6"
городское население,"3,8","3,6","3,4","3,6"
сельское население,"3,9","3,5","3,4","3,6"
50-54,
все население,"5,4","4,8","4,8","4,8"
городское население,"5,3","4,8","4,9","4,9"
сельское население,"5,5","4,9","4,5","4,8"
55-59,
все население,"7,8",7,"7,2","7,2"
городское население,"7,6","6,9","7,1",7
сельское население,"8,1","7,2","7,4","7,4"
60-64,
все население,"11,6","10,7","10,4","10,5"
городское население,"11,1","10,6","10,3","10,4"
сельское население,"12,5","10,8","10,7","10,8"
65-69,
все население,"17,9","16,3",16,"16,1"
городское население,"17,1","15,7","15,7","15,8"
сельское население,"19,5","17,6","16,8","16,7"
70-74,
все население,"31,1","30,5","29,6","29,1"
городское население,"30,3","29,4",29,"28,2"
сельское население,"32,5","32,2","30,6","30,6"
75-79,
все население,"52,9","51,6","48,2","49,5"
городское население,52,"50,9","48,3","48,5"
сельское население,"54,5","52,8","48,2","51,2"
80-84,
все население,97,"94,6","92,2","91,7"
городское население,"95,9","95,7","92,4","91,2"
сельское население,"98,9","92,8",92,"92,8"
85 и старше,
все население,"178,2","175,2","172,9","177,4"
городское население,"176,9","175,1","176,9",178
сельское население,"180,5","175,3","165,9","176,3"
Республика Адыгея,
Всего,
все население,"12,6","12,3","11,9","12,2"
городское население,"12,9",12,"11,7","12,2"
сельское население,"12,3","12,7","12,2","12,3"
0,
все население,"5,6","6,2","5,2","8,2"
городское население,"6,1","6,8",6,"7,5"
сельское население,5,"5,8","4,6","8,8"
1-4.,
все население,"0,2","0,1","0,4","0,2"
городское население,"0,4",0,"0,8","0,2"
сельское население,0,"0,2",0,"0,2"
5-9.,
все население,"0,2",0,"0,2","0,2"
городское население,0,0,0,"0,2"
сельское население,"0,3",0,"0,4","0,3"
10-14.,
все население,"0,1","0,3","0,2","0,3"
городское население,0,"0,2",0,"0,6"
сельское население,"0,2","0,3","0,3",0
15-19,
все население,"0,7","0,3","0,7","0,3"
