,2011,2012,2013,2014
все население,"154,4","192,3","202,2","193,5"
городское население,"151,7","201,3","191,2","196,1"
сельское население,"166,4","154,2","243,6",184
Республика Коми,
Всего,
все население,"14,8","14,2",14,"14,3"
городское население,"13,1","12,8","12,6","12,9"
сельское население,20,"18,8","18,4","18,9"
0,
все население,"5,9","6,9","6,1","5,1"
городское население,"5,4","7,4","5,4","5,2"
сельское население,"7,7","5,8","7,7","5,1"
1-4.,
все население,"0,4","0,6","0,3","0,5"
городское население,"0,5","0,5","0,5","0,5"
сельское население,"0,4","0,9",0,"0,8"
5-9.,
все население,"0,4","0,3","0,2","0,4"
городское население,"0,3","0,3","0,3","0,1"
сельское население,"0,5","0,5",0,"1,2"
10-14.,
все население,"0,5","0,4","0,2","0,5"
городское население,"0,6","0,4","0,1","0,3"
сельское население,"0,4","0,6","0,4","1,1"
15-19,
все население,"1,7","1,9","1,3","1,2"
городское население,"1,1","1,3","0,7","0,9"
сельское население,"4,4","4,3","3,5","2,9"
20-24,
все население,"2,8","2,9","2,9","2,7"
городское население,"1,8","1,8",2,"1,8"
сельское население,"6,6","7,6","7,1","7,3"
25-29.,
все население,"4,4","4,1","3,4","3,8"
городское население,"3,5","3,2","2,6",3
сельское население,"7,3","7,3","6,2","6,5"
30-34.,
все население,"6,6","6,4","5,5",6
городское население,"5,8","5,4","4,8","5,5"
сельское население,"9,4",10,"8,2","7,9"
35-39.,
все население,"8,1","7,8",8,"6,7"
городское население,"7,8","7,3","7,1","6,1"
сельское население,"9,2","9,3","11,5","8,8"
40-44.,
все население,"11,3","10,6","9,3","9,7"
городское население,"10,1","9,4","8,6","8,4"
сельское население,"14,8","14,5","11,6","14,1"
45-49,
все население,"15,6","13,4","14,4","13,7"
городское население,"13,8","12,4","13,3","13,4"
сельское население,"19,8","16,1","17,2","14,4"
50-54,
все население,"21,8","20,4",20,"20,5"
городское население,"19,1","19,3","18,1","18,5"
сельское население,"28,2","23,2","24,6","25,3"
55-59,
все население,"30,6","31,6","28,5","29,2"
городское население,"27,7","29,9","26,4",28
сельское население,"38,3","35,8","33,6","32,1"
60-64,
все население,"42,3","39,9","38,5",38
городское население,"40,4","38,8","37,8","36,5"
сельское население,"47,9","42,8","40,4","41,9"
65-69,
все население,59,"56,5","47,3","49,4"
городское население,"56,4","55,3","45,1","47,9"
сельское население,"68,3","60,9","54,6","54,3"
70-74,
все население,"75,7","72,7",78,"79,1"
городское население,"70,1","71,2","78,8","78,7"
сельское население,"90,9","77,1","75,8","80,3"
75-79,
все население,"109,5","99,4",100,"105,1"
городское население,"106,9","87,6","96,8","103,9"
сельское население,"114,7","125,6","107,6","108,1"
80-84,
все население,"153,3","127,4","132,6","137,1"
городское население,159,"132,7","131,8","126,1"
сельское население,"141,5","116,8","134,1","159,2"
85 и старше,
все население,"214,5","172,8","206,8",199
городское население,"226,1","163,4","211,9","193,3"
сельское население,"177,1","202,1","192,3","214,3"
Архангельская область,
Всего,
все население,"15,8","15,3",15,"14,9"
городское население,"14,2","13,9","13,6","13,4"
сельское население,"20,7","19,2","19,4","19,5"
0,
все население,"6,9","6,9","8,9","7,1"
городское население,"5,6","6,2","8,3","6,4"
сельское население,"10,6",9,"10,5","9,2"
1-4.,
все население,"0,5","0,6","0,4","0,4"
городское население,"0,4","0,5","0,4","0,3"
сельское население,"0,7","1,2","0,6","0,5"
5-9.,
все население,"0,2","0,6","0,3","0,4"
городское население,"0,1","0,5","0,2","0,3"
сельское население,"0,4","1,2","0,4","0,5"
10-14.,
все население,"0,3","0,2","0,2","0,5"
городское население,"0,1","0,3","0,2","0,3"
сельское население,"0,9",0,"0,1","1,1"
15-19,
все население,"1,2","1,2","1,1","1,1"
городское население,"0,7",1,"0,8",1
сельское население,"3,2","1,7","2,3","1,6"
20-24,
все население,"3,1","2,8","2,9","3,2"
городское население,"2,2","2,2","2,2","2,4"
сельское население,"6,3","5,2","6,3","7,6"
25-29.,
все население,"3,8","3,4","3,5","3,7"
городское население,"2,9","2,8","2,8","3,1"
сельское население,"7,2",6,"6,2",6
30-34.,
все население,"5,3","5,3","4,9","5,1"
городское население,5,"4,5","4,5","4,5"
сельское население,"6,4","8,4","6,5","7,5"
35-39.,
все население,"8,6","6,2","6,4","6,9"
городское население,"7,8",6,6,"6,1"
сельское население,"11,2","7,2","8,1","9,8"
40-44.,
все население,11,"9,3","9,6","9,1"
городское население,"10,2","7,9","8,8",8
сельское население,"13,2","13,4","12,1","12,7"
45-49,
все население,"14,5","13,1","12,7","13,4"
городское население,"13,3","12,7","11,6","13,3"
сельское население,"17,2","14,2","15,7","13,4"
50-54,
все население,"20,3","19,3",19,"16,9"
городское население,"19,6","18,1","18,3",16
сельское население,"21,8","21,8","20,4","18,8"
55-59,
все население,"30,3","28,6","24,9","25,3"
городское население,28,"27,4","22,6","23,3"
сельское население,"35,7","31,2","29,8","29,3"
60-64,
все население,38,"36,9","33,9","35,4"
городское население,"35,7","35,9","33,1","34,2"
сельское население,44,"39,4","35,8","38,2"
65-69,
все население,"52,1","46,9","43,9","47,7"
городское население,"50,9","46,3","43,5","45,4"
сельское население,"55,8","48,9","45,3","53,8"
70-74,
все население,"67,9","71,4","69,1","64,5"
городское население,65,"72,8","66,2","63,3"
сельское население,"75,6","67,7","77,3","67,8"
75-79,
все население,"99,2","93,4","98,6","86,3"
городское население,"93,9","93,1","98,4","87,2"
сельское население,"109,8","93,9",99,"84,1"
80-84,
все население,"138,6","134,2",140,"124,5"
городское население,"137,9","130,1","141,8","122,9"
сельское население,140,"142,6","136,5","127,6"
85 и старше,
все население,"193,9","192,4","198,4","185,2"
городское население,"181,5","195,3",193,"178,1"
сельское население,"227,1",184,"214,4","204,7"
Ненецкий авт.округ,
Всего,
все население,"12,7","12,7","13,1","10,2"
городское население,"10,1","9,7","10,6","7,3"
сельское население,18,19,"18,7","16,9"
0,
все население,"14,7","2,6","10,7",8
городское население,"9,4",0,"8,7",4
сельское население,"24,7","6,6","13,4","15,3"
1-4.,
все население,0,0,"0,7",0
городское население,0,0,0,0
сельское население,0,0,"2,2",0
5-9.,
все население,0,"0,7","1,3",0
городское население,0,0,0,0
сельское население,0,"2,2","4,8",0
10-14.,
все население,0,"0,7",0,0
городское население,0,1,0,0
сельское население,0,0,0,0
15-19,
все население,"1,5","0,8",3,"0,7"
городское население,0,"1,1",0,0
сельское население,"4,5",0,"11,5","2,8"
20-24,
все население,"5,4","8,6","7,5","5,7"
городское население,"2,7","3,9","4,3","2,3"
сельское население,"10,7","18,4","14,6","14,5"
25-29.,
все население,"8,1","4,4","6,9","6,3"
городское население,"3,4",2,"5,4","2,1"
сельское население,22,"11,6","11,4","18,2"
30-34.,
все население,"6,6","8,4","8,1",3
городское население,"5,2","4,2","7,9","1,3"
сельское население,"10,3","21,3","8,7","9,1"
35-39.,
все население,"8,1","7,9","8,8","7,9"
городское население,"4,4","5,9","6,4","4,5"
сельское население,"17,5","13,5","15,7","17,9"
40-44.,
все население,"15,7","17,6","8,5","5,5"
городское население,"13,4","12,8","9,3","6,9"
сельское население,20,27,"6,6","2,3"
45-49,
все население,"20,5","14,8",13,"11,8"
городское население,"17,8","16,3","10,6",13
сельское население,"24,5","12,4","16,9","9,9"
50-54,
все население,"19,5","27,5","16,9","16,3"
городское население,"23,2","25,5","14,9","8,2"
сельское население,"13,8","30,7","20,1","29,3"
55-59,
все население,"28,7","28,8",31,"22,4"
городское население,"26,6","24,6","24,7","19,5"
сельское население,"32,6","35,8","41,1","27,1"
60-64,
все население,"36,3","36,1","40,1",27
городское население,27,"28,1","39,5","26,5"
сельское население,"57,6","55,3","41,6",28
65-69,
все население,48,39,"60,2","47,6"
городское население,"33,9","40,8","55,4","23,3"
сельское население,"69,9","35,9","69,9",100
70-74,
все население,"53,3","66,3","62,6","70,6"
городское население,"49,2","65,4",50,"66,4"
сельское население,"59,8","67,8","80,7","76,9"
75-79,
все население,"62,3","61,4","104,1","64,7"
городское население,"61,4","22,3","104,8","91,7"
сельское население,"63,5","108,8","103,2","24,7"
80-84,
все население,"183,5","52,2","174,6","139,5"
городское население,"149,3","51,9","116,3",119
сельское население,"238,1","52,6",300,"177,8"
85 и старше,
все население,"157,9",40,"96,8","142,9"
городское население,"285,7","76,9","171,4","44,4"
сельское население,0,0,0,320
Архангельская область (без АО),
Всего,
все население,"15,9","15,4","15,1","15,1"
городское население,"14,3","14,1","13,7","13,6"
сельское население,"20,9","19,2","19,4","19,6"
0,
все население,"6,5","7,1","8,8","7,1"
городское население,"5,5","6,4","8,3","6,5"
сельское население,"9,6","9,1","10,2","8,8"
1-4.,
все население,"0,5","0,7","0,4","0,4"
городское население,"0,5","0,5","0,4","0,4"
сельское население,"0,8","1,2","0,4","0,6"
5-9.,
все население,"0,2","0,6","0,2","0,4"
городское население,"0,1","0,5","0,2","0,3"
сельское население,"0,4","1,1","0,1","0,5"
10-14.,
все население,"0,4","0,2","0,2","0,5"
городское население,"0,1","0,3","0,2","0,4"
сельское население,1,0,"0,1","1,2"
15-19,
все население,"1,2","1,2",1,"1,2"
городское население,"0,7",1,"0,9","1,1"
сельское население,"3,1","1,8","1,7","1,5"
20-24,
все население,3,"2,6","2,8","3,1"
городское население,"2,2","2,2","2,1","2,4"
сельское население,6,"4,4","5,8","7,2"
25-29.,
все население,"3,7","3,4","3,4","3,6"
городское население,"2,9","2,8","2,7","3,1"
сельское население,"6,5","5,7","5,9","5,4"
30-34.,
все население,"5,3","5,2","4,8","5,2"
городское население,5,"4,5","4,4","4,7"
сельское население,"6,3","7,8","6,4","7,4"
35-39.,
все население,"8,6","6,2","6,3","6,9"
городское население,8,6,6,"6,2"
сельское население,"10,9","6,9","7,7","9,5"
40-44.,
все население,"10,8","8,9","9,7","9,3"
городское население,"10,1","7,7","8,8",8
сельское население,"12,9","12,6","12,3","13,3"
45-49,
все население,"14,3","13,1","12,7","13,4"
городское население,"13,2","12,6","11,6","13,3"
сельское население,"16,8","14,3","15,6","13,6"
50-54,
все население,"20,3",19,"19,1","16,9"
городское население,"19,4","17,8","18,5","16,3"
сельское население,"22,2","21,4","20,4","18,3"
55-59,
все население,"30,4","28,6","24,7","25,4"
городское население,28,"27,5","22,5","23,5"
сельское население,"35,8","31,1","29,3","29,4"
60-64,
все население,38,"36,9","33,7","35,7"
городское население,"35,9","36,1",33,"34,4"
сельское население,"43,6","38,9","35,6","38,5"
65-69,
все население,"52,2","47,1","43,5","47,7"
городское население,"51,2","46,4","43,2","45,9"
сельское население,"55,2","49,4","44,6","52,4"
70-74,
все население,"68,2","71,5","69,2","64,4"
городское население,"65,3",73,"66,4","63,3"
сельское население,76,"67,7","77,1","67,5"
75-79,
все население,"99,9",94,"98,5","86,7"
городское население,"94,4","94,3","98,3","87,1"
сельское население,"110,9","93,5","98,9","85,8"
80-84,
все население,"138,1","135,1","139,6","124,3"
городское население,"137,8",131,"142,2","122,9"
сельское население,"138,7","143,6","134,5","126,9"
85 и старше,
все население,"194,3","194,5","199,8","185,8"
городское население,"180,6","196,4","193,3","179,8"
сельское население,"231,6","188,8","219,7","202,5"
Вологодская область,
Всего,
все население,"17,7","16,8","16,7","16,4"
городское население,"15,8","15,3",15,15
сельское население,"22,2","20,5","20,7","19,6"
0,
все население,"6,3","9,7","11,9",8
городское население,"6,3","10,1","10,8","8,1"
сельское население,"6,2","8,8","14,4","7,9"
1-4.,
все население,"0,7","0,2","0,6","0,6"
городское население,"0,5","0,1","0,4","0,6"
сельское население,"1,3","0,5","1,2","0,6"
5-9.,
все население,"0,3","0,3","0,3","0,2"
городское население,"0,1","0,3","0,1","0,3"
сельское население,"0,7","0,4","0,7","0,1"
10-14.,
все население,"0,4","0,5","0,6","0,4"
городское население,"0,2","0,4","0,5","0,3"
сельское население,"0,8","0,7","0,6","0,8"
15-19,
все население,1,"0,9","0,7","1,2"
городское население,"0,6","0,6","0,6",1
сельское население,"2,1","1,6","0,9","1,5"
20-24,
все население,"2,6","2,2","2,5","2,5"
городское население,2,"1,5","1,7","1,7"
сельское население,"4,2","4,3","4,9","5,4"
25-29.,
все население,4,"3,1","3,5","3,3"
городское население,"3,1","2,7","3,1",3
сельское население,"6,5","4,3","4,6","4,2"
30-34.,
все население,"5,9","5,9","5,4","5,2"
городское население,"5,3","5,7","4,9","4,9"
сельское население,"7,7","6,7","7,1","6,1"
35-39.,
все население,"8,7","7,1","6,8","7,5"
городское население,"8,4","6,8","6,3","7,3"
сельское население,"9,6","8,1","8,3","8,1"
40-44.,
все население,"11,4","9,8","9,9","9,5"
городское население,"10,3","9,4","9,2","8,9"
сельское население,"13,6","10,8","11,4",11
45-49,
все население,"15,8","14,2","13,7","13,6"
городское население,"15,7","13,1","13,6","13,5"
сельское население,16,"16,4","13,9","13,9"
50-54,
все население,"20,8","19,2","20,1","18,4"
городское население,"20,4","19,1","19,3","18,7"
сельское население,"21,4","19,2","21,5",18
55-59,
все население,"31,5","30,1","27,5","26,1"
городское население,"28,9","28,9","25,8","25,3"
сельское население,"36,4","32,1","30,4","27,4"
60-64,
все население,"43,2",41,"37,8","39,7"
городское население,"41,4","40,8","38,2",39
сельское население,"46,7","41,5","36,9","40,8"
65-69,
все население,"54,9","50,8",48,"49,2"
городское население,52,"50,1","48,6","48,9"
сельское население,"61,2","52,1","46,6","49,8"
70-74,
все население,"75,9","70,1","73,9","72,6"
городское население,76,"70,4","71,4","72,5"
сельское население,"75,8","69,7","78,9","72,7"
75-79,
все население,"98,5","95,8","95,2","96,5"
городское население,"95,1","97,1","95,8","102,7"
сельское население,"103,3","93,7","94,3","86,1"
80-84,
все население,"148,3","149,3","142,9","127,8"
городское население,"148,3","149,2","143,8","134,4"
сельское население,"148,2","149,6","141,7","118,9"
85 и старше,
все население,216,"204,5",218,"199,6"
городское население,"224,2","216,4",226,"211,3"
сельское население,"198,3","178,7",202,"178,8"
Калининградская область,
Всего,
все население,"14,4","14,1","14,1","14,3"
городское население,"14,4","14,3","14,2","14,6"
сельское население,"14,5","13,6","13,6","13,4"
0,
все население,"5,4","5,3","7,6","9,4"
городское население,"5,5","5,7","7,1","10,8"
сельское население,"5,1","4,3",9,"5,5"
1-4.,
все население,"0,5","0,7","0,3","0,3"
городское население,"0,3","0,6","0,3","0,2"
сельское население,"1,1","0,9","0,2","0,7"
5-9.,
все население,"0,3","0,1","0,2","0,2"
городское население,"0,2","0,1","0,2","0,2"
сельское население,"0,7","0,2","0,3","0,1"
10-14.,
все население,"0,3","0,5","0,2","0,1"
городское население,"0,3","0,3","0,1","0,1"
сельское население,"0,3","0,9","0,5",0
15-19,
все население,"1,1",1,1,"1,1"
городское население,"0,8","0,8","0,9","0,9"
сельское население,"1,9","1,8","1,4","1,5"
20-24,
все население,"2,1",2,"1,7",2
городское население,"1,7","1,6","1,5","1,5"
сельское население,"3,3","3,5","2,6","3,7"
25-29.,
все население,"4,1","3,5","3,5","3,3"
городское население,"3,7","3,2","3,2",3
сельское население,"5,2","4,6","4,4","4,3"
30-34.,
все население,6,"5,1","5,6","5,3"
городское население,"5,6","4,9","5,6","5,5"
сельское население,"7,3","5,8","5,4","4,5"
35-39.,
все население,"7,4","8,2","7,7","8,9"
городское население,"6,9","8,1","7,8","8,9"
сельское население,"8,8","8,8","7,5",9
40-44.,
все население,"8,8","9,1","8,4","10,1"
городское население,"8,5","8,6","7,9","9,9"
сельское население,"9,7","10,8","9,9","10,8"
45-49,
все население,12,"11,3","11,9","11,4"
городское население,"11,5","10,9","11,2","11,5"
сельское население,"13,4","12,6","14,3","11,2"
50-54,
все население,"16,5","15,7","14,9","15,6"
городское население,"16,2","15,6",14,"15,2"
сельское население,"17,6","16,1","17,5","16,8"
55-59,
все население,"25,9","22,8","21,9","21,9"
городское население,"24,7","22,5","21,1","20,7"
сельское население,30,"23,6","24,4","25,8"
60-64,
все население,"33,6","34,8","34,2","34,1"
городское население,"31,5","32,7","32,6","33,4"
сельское население,"41,8","42,6","39,8","36,4"
65-69,
все население,"46,2","45,2","43,4",43
городское население,"45,9",44,"41,7","43,1"
сельское население,"47,6","50,3","50,5","42,6"
70-74,
все население,"68,3","62,8","67,7","67,4"
городское население,"66,3","62,6","67,1","67,2"
сельское население,"77,1",64,"70,4","68,3"
75-79,
все население,"92,1","93,6","87,9","83,1"
городское население,"90,2","92,9","87,4","82,2"
сельское население,"100,6",97,"90,5","87,6"
80-84,
все население,"142,6","141,3","135,9","131,9"
городское население,"139,5","140,4","137,5","128,9"
сельское население,"159,2",146,"128,8","145,3"
85 и старше,
все население,"195,3","181,5","185,6","183,8"
городское население,"190,7","176,2","184,2","186,7"
сельское население,"235,3",226,"197,9","164,5"
Ленинградская область,
Всего,
все население,"16,1","15,9","15,5","15,5"
городское население,"17,3","17,1",17,"17,2"
сельское население,14,"13,6","12,8","12,4"
0,
все население,"5,8","7,6","6,9","7,3"
городское население,"5,9","6,9","6,3",8
сельское население,"5,7",9,"8,1",6
1-4.,
все население,"0,5","0,4","0,2","0,6"
городское население,"0,7","0,3","0,2","0,6"
сельское население,"0,3","0,7","0,3","0,6"
5-9.,
все население,"0,3","0,4","0,3","0,4"
городское население,"0,3","0,4","0,3","0,5"
сельское население,"0,5","0,4","0,3","0,3"
10-14.,
все население,"0,4","0,3","0,4","0,2"
городское население,"0,4","0,3","0,3","0,2"
сельское население,"0,4","0,3","0,6","0,3"
15-19,
все население,1,1,"0,7",1
городское население,"0,9","1,2","0,7","0,9"
сельское население,"1,1","0,7","0,7","1,2"
20-24,
все население,"2,3","2,5",2,2
городское население,"2,4","2,9","2,3","2,2"
сельское население,"2,1","1,7","1,7","1,5"
25-29.,
все население,"4,9","4,4","3,9","3,9"
городское население,"5,5","4,9","4,4","4,4"
сельское население,"3,9","3,5","3,1",3
30-34.,
все население,"7,7","6,6","7,1","6,7"
городское население,"8,3","7,4","7,8","7,4"
сельское население,"6,7","5,3","5,7","5,6"
35-39.,
все население,"9,5","8,8","8,8",8
городское население,"10,3","9,8","9,9","8,9"
сельское население,"7,9","6,8","6,9","6,3"
40-44.,
все население,10,"9,4","9,2","9,4"
городское население,"10,6","10,5","9,9","10,3"
сельское население,"8,7","7,2","7,7","7,6"
45-49,
все население,"13,9","12,3","10,8","11,5"
городское население,"14,5",13,"12,1","12,9"
сельское население,"12,9","11,2","8,4","8,9"
50-54,
все население,"17,4","16,7",16,"17,1"
городское население,"18,1","17,6","17,4","18,8"
сельское население,"16,1","15,2","13,5","14,1"
55-59,
все население,25,"23,6","22,7","22,9"
городское население,"26,5",25,"22,9","25,3"
сельское население,"22,4","21,1","22,3","18,7"
60-64,
все население,"35,1","34,7","34,9","33,4"
городское население,"36,7","36,7","38,1","36,6"
сельское население,"32,2","30,8","28,9","27,7"
65-69,
все население,"41,9","43,9","40,3","42,9"
городское население,"46,2",47,"43,9","48,1"
сельское население,"33,8","38,2","33,6","33,6"
70-74,
все население,"62,1","62,9","64,1","57,3"
городское население,"66,7","68,4",74,"64,2"
сельское население,"53,8","53,1","46,9","45,1"
75-79,
все население,93,"92,7","84,7",84
городское население,100,"99,9","94,3","95,5"
сельское население,"80,2","79,8","67,6","64,5"
80-84,
все население,"129,5","125,3","127,4","123,6"
городское население,"138,3",132,"140,5","137,2"
сельское население,"112,7","113,1","104,8","101,2"
85 и старше,
все население,"172,5","183,7","178,1","165,9"
городское население,"180,3","191,6","198,1","191,2"
сельское население,"153,7","165,9","136,3","118,5"
Мурманская область,
Всего,
все население,"13,1","12,4","11,7","12,6"
городское население,"13,4","12,7",12,"12,9"
сельское население,"9,3","9,3","9,3","9,3"
0,
все население,"9,4","8,6","7,3","7,6"
городское население,"9,6","8,4","7,7","8,3"
сельское население,"6,9","10,8","2,8",0
1-4.,
все население,"0,4","0,4","0,2","0,3"
городское население,"0,4","0,5","0,2","0,2"
сельское население,0,0,0,"1,2"
5-9.,
все население,"0,1","0,3","0,1","0,2"
городское население,"0,1","0,3","0,2","0,2"
сельское население,0,0,0,0
10-14.,
все население,"0,2","0,3","0,2","0,5"
городское население,"0,2","0,3","0,2","0,4"
сельское население,"0,7",0,0,"0,7"
15-19,
все население,"0,8","0,6","0,7",1
городское население,"0,9","0,6","0,7","0,8"
сельское население,"0,4","0,7","1,2","2,4"
20-24,
все население,"1,9","1,5","1,6","1,4"
городское население,"2,1","1,6","1,9","1,6"
сельское население,1,"0,5","0,2","0,6"
25-29.,
все население,"4,1","3,8","2,9","4,1"
городское население,"4,3","3,9",3,"4,2"
сельское население,"1,9","3,2","2,2","2,8"
30-34.,
все население,"5,8","6,6","5,8","6,3"
городское население,"5,9","6,6","5,8","6,4"
сельское население,"5,1","7,2","6,7",5
35-39.,
все население,"7,3","6,5","6,6","8,3"
городское население,"7,3","6,5","6,6","8,6"
сельское население,7,"7,5","7,6","4,4"
40-44.,
все население,"9,6",8,"7,9","8,6"
городское население,"9,8","7,9","7,9","8,7"
сельское население,"5,9","9,8","7,9","7,9"
45-49,
все население,"14,3","12,2","10,4","11,9"
городское население,"14,1","12,2","10,7","11,9"
сельское население,"17,4",12,"7,1",11
50-54,
все население,"19,8","17,7",16,"16,5"
городское население,"19,7","17,6","15,8","16,7"
сельское население,"20,2","18,9","18,7","13,7"
55-59,
все население,"28,9","26,9","24,3","26,1"
городское население,"28,8",27,"23,8","25,9"
сельское население,"30,6","24,8","31,9","29,2"
60-64,
все население,"37,5","36,8","34,1","31,8"
городское население,"37,2","36,6","33,6","31,5"
сельское население,"43,9","38,6","41,1","36,9"
65-69,
все население,"52,2","48,3",43,"49,7"
городское население,"53,2","49,2","43,1","49,9"
сельское население,"33,3","32,3",41,"46,9"
70-74,
все население,"79,8","76,6","80,7","75,3"
городское население,"78,5","76,9","79,8","74,9"
сельское население,"105,4","71,8","97,3","82,4"
75-79,
все население,"104,4","105,4","99,5","104,4"
городское население,"105,8","102,9","98,8","103,6"
сельское население,"75,3","155,8","113,1",122
80-84,
все население,"158,6","157,4","147,5","150,2"
городское население,"159,9","155,6","147,4","142,8"
сельское население,"132,4","194,8","148,6",315
85 и старше,
все население,"236,6","187,7","192,1","203,8"
городское население,"239,1","184,5","187,2","203,8"
сельское население,"181,8","270,3","325,6","203,4"
Новгородская область,
Всего,
все население,"20,7","19,8","19,8",19
городское население,"19,4","18,7","18,7","18,3"
сельское население,"23,7","22,4","22,2","20,6"
0,
все население,"8,2","10,1","11,3","7,3"
городское население,8,"7,1","10,7","7,3"
сельское население,"8,7","17,2","12,7","7,4"
1-4.,
все население,"0,9","0,4","0,3","0,5"
городское население,"1,2","0,5","0,3","0,6"
сельское население,"0,3",0,"0,2","0,2"
5-9.,
все население,"0,6","0,4","0,6","0,3"
городское население,"0,5","0,5","0,7","0,4"
сельское население,"0,9","0,2","0,4",0
10-14.,
все население,"0,5","0,4","0,6","0,3"
городское население,"0,3","0,4","0,6","0,5"
сельское население,1,"0,2","0,5",0
15-19,
все население,"1,8","1,5","1,5","1,2"
городское население,1,"0,6","1,4","1,3"
сельское население,"3,8","3,9","1,9","0,8"
20-24,
все население,"3,5","3,4","2,7","2,2"
городское население,"3,1","2,6","2,5","1,5"
сельское население,"4,3","5,5","3,1",4
25-29.,
все население,"5,8","5,1","5,2","4,9"
городское население,"5,4","4,8","5,4","4,7"
сельское население,7,"5,7","4,7","5,4"
30-34.,
все население,"8,8","7,8","7,9","6,7"
городское население,"7,7","8,1","6,7","6,6"
сельское население,"11,8",7,"11,4","6,9"
35-39.,
все население,"10,9","8,9","10,9","9,3"
городское население,"10,5","8,9","9,7",9
сельское население,"12,1",9,"14,1","10,1"
40-44.,
все население,"13,6","12,1","11,6","11,2"
городское население,"11,9","11,4","11,5","10,5"
сельское население,"17,9","13,8","12,1",13
45-49,
все население,17,"15,9","15,6",15
городское население,"16,5","15,8","15,2","14,2"
сельское население,"18,1",16,"16,2","16,7"
50-54,
все население,"23,9","21,3","23,1","21,9"
городское население,"23,2","21,2",22,"21,8"
сельское население,"25,4","21,4",25,"22,2"
55-59,
все население,"32,2",30,"29,8","26,8"
городское население,"30,5","29,4","28,1","25,1"
сельское население,"35,5","31,1","32,9","29,9"
60-64,
все население,"43,6","45,7","39,3","40,3"
городское население,"42,3","43,5","38,8","39,9"
сельское население,"46,2","49,9","40,3",41
65-69,
все население,"60,5","54,4","53,9","49,4"
городское население,"66,5",60,"59,5","55,3"
сельское население,"48,9","43,8","43,4","38,3"
70-74,
все население,"74,7","71,2","74,7","74,2"
городское население,"78,5","78,4","84,8","87,5"
сельское население,"68,5","59,7",59,"53,6"
75-79,
все население,"112,5","104,8","104,1",97
городское население,"117,7","109,1","113,3","113,6"
сельское население,"105,2","98,7","90,7","73,2"
80-84,
все население,"143,5","140,4","141,1","145,7"
городское население,"156,9","144,9","149,4","165,7"
сельское население,"123,8","134,3","130,2","120,7"
85 и старше,
все население,"202,4","233,1",195,"209,1"
городское население,"232,7","261,6","222,6","233,3"
сельское население,"142,6","180,2","147,6","171,4"
Псковская область,
Всего,
все население,"21,3","21,5",20,"19,5"
городское население,"19,2","19,3","18,4",18
сельское население,"25,9","26,3","23,5","22,8"
0,
все население,"6,9","9,7","8,9","6,9"
городское население,"6,3","8,3","10,9","7,3"
сельское население,"8,2",13,"4,3","6,3"
1-4.,
все население,"0,7","0,2","0,9","0,6"
городское население,"0,5","0,2",1,"0,4"
сельское население,"1,4","0,3","0,7","1,2"
5-9.,
все население,"0,5","0,3","0,1","0,2"
городское население,"0,5","0,1","0,1","0,3"
сельское население,"0,5",1,0,"0,2"
10-14.,
все население,"0,3","0,2","0,3","0,5"
городское население,"0,3","0,2","0,3","0,4"
сельское население,"0,3","0,3","0,3","0,8"
15-19,
все население,"1,4","1,7","0,9","0,9"
городское население,"1,2","1,2","0,6",1
сельское население,2,"3,3","1,8","0,5"
20-24,
все население,"2,4","2,9","2,9","2,5"
городское население,"2,1","1,9","2,5",2
сельское население,"3,1","5,9","4,2","3,8"
25-29.,
все население,"4,4","4,3","4,7","5,1"
городское население,"3,9","3,7","3,8","4,9"
сельское население,"5,9","5,9","6,8","5,7"
30-34.,
все население,8,"8,3","6,3","6,6"
городское население,"7,3","7,1","5,3","5,9"
сельское население,"9,9","11,7","8,8","8,5"
35-39.,
все население,"10,6","10,5","9,7","9,9"
городское население,"9,5","8,8","8,9","8,8"
сельское население,"13,5","15,2","11,9","12,8"
40-44.,
все население,"12,9","12,4","10,7","10,3"
городское население,"13,2",11,"11,3","9,9"
сельское население,"12,4","15,6","9,4","11,4"
45-49,
все население,"18,9","17,9","15,3","14,6"
городское население,"16,7","15,7","14,6","14,7"
сельское население,"23,1",22,"16,8","14,3"
50-54,
все население,"23,6","22,9","20,4","20,9"
городское население,"22,8","22,4","19,1","20,1"
сельское население,"25,1","23,9","22,6","22,1"
55-59,
все население,"33,3","33,8","29,3","28,4"
городское население,31,"33,7","28,6","27,8"
сельское население,"37,4","33,9","30,4","29,6"
60-64,
все население,"49,9","47,8","41,3","41,6"
городское население,"48,5","46,7","42,5",40
сельское население,"52,6","49,9","39,2","44,6"
65-69,
все население,"56,9","59,8","56,3",52
городское население,"56,6","62,1",58,"55,7"
сельское население,"57,6","55,4","53,1","45,4"
70-74,
все население,"77,8","81,9","78,3","72,7"
городское население,"85,3","90,2","83,8","79,2"
сельское население,"67,1",70,"70,5",63
75-79,
все население,111,"107,8","101,3",107
городское население,"120,9","116,8","110,7","120,9"
сельское население,"99,5","97,1","90,1","90,2"
80-84,
все население,"144,9","155,9","159,4","146,4"
городское население,"151,1","167,6",180,"166,5"
сельское население,137,"142,4","137,7","126,2"
85 и старше,
все население,"229,2","202,6","232,3","189,2"
городское население,"228,3","205,2","258,9",224
сельское население,231,"197,3","184,6",139
г.Санкт-Петербург,
Всего,
все население,"13,1","12,8",12,"11,8"
городское население,"13,1","12,8",12,"11,8"
